Post,Post ID,Lead
"Dear sisters here is a widow women need ur help.... If anyone need cook for there home, office, hostel or any event i m here for u.. i m a good cook ager ap chahen tu apki location pe a k b cook karsakti hun...  Areas preferably: malir, jamia mili, shahfaisal or any near by these areas  JazakAllah",:rti:,No
"Salam! I’m a working mom looking for a nanny near Bahadurabad who can accompany me to my office, as I bring my baby along. If anyone knows a reliable helper, please let me know.",:ru4:,No
"What could be the heartfelt duas we should ask Allah that He likes the most, in Ur knowledge about your own self or kids and generalized in Haram shareef and masjid e nabwi or Infront of roza e rasool ..",:r10r:,No
"Hi, Looking for MOM influencers or bloggers with organic reach that wouldn't charge and would be willing to take a scratch coding class for their kids 5-16 years. In return, an honest feedback of the coding class on their story or post. (It's online, nothing to be downloaded).  P.S: please drop down your links if you are actually interested.",:r11o:,No
"Hello everyone, I'm planning a surprise visit in January to attend a family wedding in Pakistan. Please suggest me any good branded ice blue or white dress under 50k. I will attend a wedding after many years so, I have no idea.",:r12k:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
"Guide me!  Nuclear families who are living in Baharia Town Karachi, what are your evening activities there? What about kids activities? Are there any sports, gym or learning centers there for kids under 5? Other than going to parks..",:r16o:,No
Urgent needed 2 PC dress/ co ord set  Solids preferred with little embroidery giving a formal look Location Karachi because I want urgent delivery,:r18c:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
"Looking for internees for the following positions 1. Help in social media strategies. 2. Social media post creation /management 4 hours/day. Only comment if you have relevant experience please. Also, this is not going to be a highly paid position but since it's an internship it can be converted into a full time position based on the performance with the salary increment",:r1ch:,No
"Looking to hire an appointment setting assistant- (full time 8 hrs/ Mon-Fri) more than happy to train the right person! Just need someone who’s communication skills are great, can type fast, somewhat social media and can navigate through story, likes and dms and most importantly coachable. Not going after a specific qualification if you got those things in you- let’s chat! 
  EDIT: It’s an IN-HOUSE position. Can work out flexible timings. There’s no way this it’d be remote ",:r1el:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
"Adidas adilette aqua slides in stock. Shipment arriving in a week. Book yours now Size available - 38, 42, 43, 44.5  Adidas backpack + pouch - 10,500",:r1j0:,No
"Girls, I m going to buy some makeup with my in-laws today. Please recommend Pakistani or local brands for the following makeup products that are suitable for oily skin and easily available in Karachi markets: 1) Foundation (non-oxidizing) 3)Primer (suitable for open pores) 4)BB cream 5)Lipsticks  ( suggest shade that has nude pink nude brown colour )   Long-lasting perfume (local brands that are easily available except for j. ) Thanks in advance ,..",:r1me:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
Suggest some good salons for pre-wedding facials and makeup.,:bvfd:,Yes
I am a housewive and I am looking for an online job be it online tutoring or content writing as I have experience in both. Not earning currently is very hard for me both financially and mentally and is taking a toll on my mental health. so pls me out for any online job opportunities as in this current economy both the partners have to earn to bear the household expenses.,:r1ou:,No
"Aj rat 25 November almost 8pm mere husband k sath snatching hogai garden zoo main gate k pas unke tamam assest mobile , laptop + bag accessories, wallet including nic ,atm cards ,license, original car papers (with name of Mohammad Azeem khan) , passport, saab kuch loot ker kay gay Agar kisi ko bhi wallet ya cards wagira milay Faraz Ali Qureshi k name se to plz contact karain. please jo bhi help karay ga Allah usko buhat ajro sawab dey ga ameen Jazak Allah",:r1r4:,No
Can someone make these headbands?,:r1tn:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
Please suggest good makeup artist in clifton defence area in karachi. Thankyou in advance,:r1ug:,No
"Aoa girls..im in search of real online work but i've no skills
 i want to earn from real platform..these power eagle, ourelitehealth etc type plz stay away..i need real work !!",:r1vc:,No
Recommendations for balayage hair coloring,:hjgf:,Yes
Which salons offer the best hair dye for brown shades?,:rews:,Yes
Which salons offer organic hair dye options?,:xdew:,Yes
I want a manicure and pedicure. Which salons are best?,:xvbn:,Yes
Suggestions for nail art and care?,:wsdf:,Yes
What are the top salons for relaxing spa packages?,:dfgh:,Yes
I�m looking for waxing services. Any ideas?,:vbgd:,Yes
Where can I get keratin hair treatments?,:r2re:,Yes
Any recommendations for salon packages for men?,:c2qa:,Yes
I want a complete beauty deal for a day. Suggestions?,:kltr:,Yes
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
scammer ye bhai sahab hai ek mujhy bht umeed dilai thi inho ny main inko kafi time sy follow kr rhi hun inhy mery halat sab pata hai main safaid possh ghar sy hun  insy bat hoi binance par kam karwaty hain ye  baki online kam ti fake hoty hin inky status dekhti thi main logo ko ye donation bhi dilwaty hain  or bht deeni status bhi mujhy yehi tha k ye fraud  nhi hongy q k status par logo ka work bhi lagaty thy jaisy wakai kam ho tha hai mainy insy invesmnt ki bat ki inho ny. kaha kuch na kuch zarori hai apky account main jayengy to kam shuro hoga ye bat mujhy sahi lagi khair 10k sy shuro karby ka kaha tha inho ny meri khush qismati hai k main 5 hi arrange kar saki or  unhy bhej diye  laikn usky bad sy unho ny rabta nhi ki main har apni situation likh di main bht mehnt kar k mahiny k 10 hazar kamati hun. or mera bacha chouta hai 7 mahainy ka uska doodh nhi le saki main is nuqsan ki waja sy khair allah pak bht mehrban hai is jahan main wo kr ly jo krna hai agly main hisab dega es post ka maqsd hai ap log aware rahyn mery sath jo howa apky sath na ho apki mehnat na zaya ho mujhy to bas ye tha main aony bacho k liye thora kama lungi  jazkallah  or jitna or sakay iska number main de rhi hun esy calls karyn ap log sabaq zaror dyn.  agar paisy niklwa dy koi to bht  mehrabni hogi  +92 348 1956527 anwar ul haq,:rt:,No
How would you do a baby announcement to your other kids?  It’s baby number 6 and I need to announce it to the other 5! Any nice ideas?,:r21:,No
Hello  I am 26 year old.  I want my skin to look younger tight and and fresh  Please recommend me reasonable skin care products that make my skin plump younger looking and help reduce wrinkles,:r207:,No
"#itsallaboutme  I am Aasia AbdulRehman Khan  Karachi,I am owner of 
DoubleA-R cuisine  I started my homemade food business in 2022; I suffered a lot, I did an unpaid posting in different groups, and made lots of efforts to increase my business all over Karachi. My specialty was Koftay,khawsuey, and kababs. but due to a Gas issue, which is now common in Karachi city, I switched to the Gift Hampers business, and now, alhamdulilah, it really goes well day by day. I am making my hampers and delivering them safely with my husband. All my clients are fully satisfied. Jazak Allah",:r2rq:,No
"Hello all Kindly help a sister out I have gold worth 30 lacs. I can either keep it as a saving, or buy a shop and give it on rent or invest in bank or invest with husband  What would be more appropriate for me",:r2sp:,No
Where can I get a full hair dye and trim package?,:rede:,Yes
I want to book a keratin treatment. Any recommendations for salons?,:yutr:,Yes
I need advice on salons offering ombre or balayage hair dye.,:cvds:,Yes
Any salons offering trendy haircut styles for women?,:xsad:,Yes
I need recommendations for salons specializing in permanent hair straightening.,:nbvX:,Yes
Suggest the best salons for a full bridal beauty package.,:noqa:,Yes
I want a pre-wedding facial and makeup trial. Recommendations?,:nbvcx:,Yes
Which salons offer deals on bridal makeup and hairstyling?,:t54e:,Yes
"Hi.plz share Any ref to get real likes + followers with non drop guarantee along with cost for 5-10k(fb,insta and TikTok) beauty salon business Pic for attn :",:r3cp:,No
"Position: Animator/Video Editor Experience: 2+ Years Location: Karachi and Islamabad  About Us: We are a communication design agency that values innovation, creativity, and staying ahead of digital trends. We are looking for a passionate Animator/Video Editor who is not only skilled at crafting compelling animations and videos but is also adept at working with AI tools to enhance the creative process. Role Overview: We are seeking a talented Animator/Video Editor with 2+ years of experience to create captivating video content and animations. The ideal candidate has experience interacting with AI tools to streamline production without compromising on creative integrity and possesses an excellent digital understanding of platform requirements, including size and specifications. Key Responsibilities: Create high-quality animations and video content for digital campaigns, social media, and other marketing channels. Work with AI tools to enhance video production and animation, ensuring efficiency without compromising originality. Collaborate closely with creative teams to conceptualize and execute engaging video content that aligns with our brand vision. Adapt video and animation formats to suit various digital platforms, ensuring size, specs, and quality standards are met. Keep up with the latest trends in video editing, animation, and digital content. Requirements: 2+ years of professional experience in animation and video editing. Proficiency in Adobe Premiere Pro, After Effects, Final Cut Pro, or similar tools. Experience with AI-enhanced video editing and animation tools. Strong understanding of digital platforms (Instagram, YouTube, TikTok, etc.) and their size/spec requirements. Creativity and the ability to tell compelling stories through animation and video. Ability to manage multiple projects simultaneously and meet tight deadlines. Preferred Skills: Experience working with digital trends such as metaverse, NFTs, or realtech. Knowledge of motion graphics and ability to create visually engaging elements. Benefits: Be part of a dynamic team exploring the frontiers of technology. Work in an environment that encourages creativity and growth. Share your Resume at: careers@merakicomm.pk  #merakicommunications  #animator  #videoeditors  #videoeditorjobs  #hiring  #jobopportunity  #hiringalert",:r3fc:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
Heyy Looking for this bag and skirt From where can I get it ?,:r3im:,No
"So, I am gonna share everything with you gals here today.  I work as a teacher in a school but have been wanting to learn some skill and switch to some other profession coz I simply don't want to pursue this career any further.  I started learning Social Media Marketing and Management last year, did two remote internships with international clients which I got through LinkedIn. Then, in August, I got a client who launched her clothing brand online. She was paying me a little amount but I learned a lot of stuff and gained some valuable experience.  I worked remotely for her for two months but then she conceived and put all her business on a pause.  Now, it's been nearly two months I am looking for opportunities in the field of social media but no luck.  I also feel scared to join an office as I am not that experienced so, I have a fear that if I don't do well, I will loose my current job as well which I can't afford.  I don't know what to do! Please suggest me how do I find some leads, share some insights also.",:r3jl:,No
Koi NGO ya women supporting organization hai Jo khula cases free/ low cost main karwati ho?,:r3m2:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
Can anyone suggest me solution of strawberry legs. I am struggling with this since long time after waxing/ razor I feel alot of itching and bumps but couldn’t find any solution to get rid of strawberry legs i have tried scrubbing and glycolic acid as well but all in vain. Girls with strawberry legs which hair removal method do you use? Shaving/waxing/epilator which one is best.,:r3mt:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
SS-1131 We do work in customised Resin art: We never worked without making drafts of our products and we make sure to deliver our 100% to every piece of art... Pls visit my page for more details about our work and designs... Bookmarks LED lamp Customized birthday memories Islamic art  Keychains  Fridge magnets  Anything you want customised in Rasin...,:r3pc:,No
Admin please approve! It's urgent! Can you guys please suggest any school which offer jobs to just 2nd year pass in reasonable salary like 7 to 10k! Please let me know if you know any,:r3qb:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
"Mujhy ek ajeeb bemari hy. 5 saal pehly meri nanu ki death hwi hy tb sy mai apni health k bar mai kafi conscious hun. Jb b kuch negative dekhti hu health k bary mai jldi jldi us py extensive research krti hun. Like last days mai Smog ka dekha tu pir buht time tk google searches krti rhi k es sy kia kia health problem huty hy.  Ab msla yh hy k mai jb b kisi bemari k bary mai prh lyti hun tu wu symptoms pir khud mai paa ti hun. Heart attack ka pra pir mujhy b whi left side pain radiating to left arm, smog ka lung damage k bary mai prha tu whi mujhy pir shortness of breath huti hy. Khud mai koi 20 to 25 tk bemariyan diagnose ki hy or jb doctor k pas chali jati hun wu kehty hy mai bilkul tek or normal hun. Recently mujhy lga mujhy Polycystic ovarian syndrome hy cuz us k sary symptoms mujh mai hy jb mai doctor k pas gae extensive investigation hwi sb normal thaa. I don't know pir yh symptoms q huty hy? Q mujhy different  bemariyon k symptoms huty hy q chest pain huti hy shortness of breath huti. Etni sari investigations ki hy Echo ECG sy ly k hr kism ka blood and hormonal test kesy hy pura ek medical file bn gya hy mera sb kuch normal hy still mujhy lgta hy mujh mai buht bemariyan hy. I don't know how to deal with this koi doctor koi b nei smjhta mujhy sb kehty hy mai bilkul tek tak hun likin bss mujhy nei lgta k mai normal healthy hun ",:r3vt:,No
Assalam u Alaikum. Please please approve kerlen jaldi se... Mujhe aap sab se poochna hai ke me thore time pehle uk se Saudi shift hui hoon... mera uk number per jo whatsaap tha uski sari chat ka google me backup hai... phir mene usi ko saudi number per chnage kya to chat waise hi hai whatsaap per...ab me mobile change kerungi aur WhatsApp usi Saudi number se banaoungi to chat ajayegi google backup se ya wo uk number se backup hoti arahi hai to jasakti hai? Kisi ko pata hai is ka?plz bataden,:r43o:,No
Does anyone have veil dupatta on rent,:r44d:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
Morning brew and good vibes! Insulated thermal mug Stainless steel Double vaccum layer Available in many colors Insta: https://www.instagram.com/armario775/profilecard,:r45v:,No
"Assalamualaikum, I hope you all are well, I wanted to know if hijama works for weightloss and hairfall etc, and if there is anywhere I can get it done near bahadurabad / tariq road (practiced and done by female only). Appreciating and thanking you for your responses in advance:)",:r46s:,No
﷽ * pashmina 3 pcs suit* *with embroidered full size  shawals* *Size 45×90 inches* FOR ORDER AND QUERIES PLEASE WHATSAPP  https://wa.me/923086201717 For more variety please follow my Facebook page  https://www.facebook.com/profile.php?id=61561074744605... For daily update of new arrivals join my WhatsApp community  https://chat.whatsapp.com/EX8L9oTRQc4HEVq0L0Xj1H,:r497:,No
COTTON TROUSER/SHALWAR  SIZES: LARGE XL  FOR ORDER AND QUERIES PLEASE WHATSAPP  https://wa.me/923086201717 For more variety please follow my Facebook page  https://www.facebook.com/profile.php?id=61561074744605... For daily update of new arrivals join my WhatsApp community  https://chat.whatsapp.com/EX8L9oTRQc4HEVq0L0Xj1H,:r4a0:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
Assalamu alikum girls. I am in search of single unstitched shirts in black color. Sbhi brands k pages check kr liye hn. Awal toh 1 pc shirts bht km hn or agr hain b toh black color ni available. Kindly koi page suggest kryn jahan sy affordable rate py black color mn unstitched khaddar shirts mil jyn.,:r4cf:,No
Mac cosmetics set Rs 18999 Www.ushopuk.pk  All original from UK usa and canada,:r4ge:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
Merium pervaiz inspired dress available in all sizes  https://www.instagram.com/wajayesha.official...,:r4ut:,No
Hi Ladies.. doesn't anyone know where to buy balochi dresses for kids? For a 1 year old to be specific! Thanks in advance ,:r4vq:,No
Hi! Hope everyone is doing great!! Just want to connect with a good psychologist for an online session as i think i really need help regarding my mental health and episodes of feeling lost and failed. I deeply admire and value the time the specialist offers and the work they do but right now on a limited budget so can't be able to pay high consultation fees so you can comment accordingly. I hope you guys understand.  I just feel the need to share all this to someone who doesn't know me at all so i can share anything i wish to without getting judged or questioned or misunderstood.,:r51a:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
order now at Seemalite  instagram.com/seemalite2005  free mini gift item to Superwoman members. just mention u ordered from Superwoman before placing your order to get a free gift item we have huge variety  of items in very reasonable price,:r5nq:,No
Need anykind of office job and teaching with fix having dual master and computer skills aswell on urgent basis please please,:r5on:,No
"Assalamoalikum Kisi Ka Bacha foundation public school Mai prhta Hai, if yes then please let me know about the interview of parents before admission.",:r5s0:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
"Unlock Your Earning Potential Through Social Media! Host by: Annan Ummad & Roha Sakina Are you a housewife or student who dreams of earning but doesn’t know where to start?   What if I told you that you could turn your passion for social media into a 6-figure income stream—without stepping out of your home?   On 21st December, we’re hosting a special workshop designed just for you.   In this workshop, we’ll guide you step-by-step on:   - How to start earning from Social Media Marketing   - Managing work-life balance as a housewife or student   - The exact skills you need to excel in this field - Glimpse of Canva interface that can help you in business post creation  Yeh ek life-changing opportunity hai, specially un logon ke liye jo financially independent banna chahte hain.   The best part? It’s only Rs 500.   Yes, you heard that right—Rs 500 to transform your future.   Limited seats are available, so make sure to grab yours now.   Fill out the Google Form to register:  https://forms.gle/L7a2yzHBT9LU43mH9 Date: 21st December   Mode: Online   Don’t let this chance slip away.   Kya pata, yeh pehla step ho towards your financial freedom.",:r5tj:,No
Ladies mujhy apse ek suggestion chahie tha.. Ye Jo halls m bday party krty Hain tw cake kse serve krty hn?? Kya cake k slices hr table p serve kren ya cupcakes bnwaen ya what's your way?? Kindly pour in ideas,:r5ub:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
Beautiful ribbed jersy hijab,:r631:,No
"Location needed! We are seeking an aesthetic bedroom setting for a shoot in Karachi. The budget is minimal. Please share the details, if you know any, by reaching out in dm.",:r677:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
"Season end sale with massive discouts on our premium hand embroidered clothing till the stock lasts. Only one last piece is left in eacg article. Get your favourite pieces before they are gone 
 price starting from only 4900. Follow the link to see full sale collection  https://www.instagram.com/bemisal_handmade/profilecard/?igsh=MTJtN3RjZDMzdjU3OA==",:r6bd:,No
"PREMIUM DRY FRUIT, SEEDS & FRESH DRIED FRUITS FROM QUETTA NATURALS  We bring you the freshest and tastiest fresh dried fruits straight from Quetta!  Perfect for snacking or gifting, our premium selection is unmatched in quality.  Ordernow for the finest quality   DM FOR PRICES  COD AVAILABLE ALL OVER  https://www.instagram.com/quetta.naturals... https://www.facebook.com/profile.php?id=61568413347560...",:r6ed:,No
Someone posted and asked about how our Live class on Appointment Setting went- Here’s some of the screenshots from our community of students  Digital Superwomen- follow us for next batch announcements,:r6fs:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
Please help me fine these wide leg trousers. Extra wide.,:r6ig:,No
﷽ 9000 microvelvet heavy handwork kora dabka with sequence work  Dopatta soft organza with sequence work Silk trousers same colors  S m l xl available  Price: 8100 Bottle green Plum Black  Zinc  Blue FOR ORDER AND QUERIES PLEASE WHATSAPP  https://wa.me/923086201717 For more variety please follow my Facebook page  https://www.facebook.com/profile.php?id=61561074744605... For daily update of new arrivals join my WhatsApp community  https://chat.whatsapp.com/EX8L9oTRQc4HEVq0L0Xj1H,:r6li:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
We’re LIVE  Register for: 1. Appointment Setting Workshop 2. Meta Business Suite Workshop  And launch your Digital Career to success  Register here: http://bit.ly/3YLZGZf,:r6ng:,No
Mommies how could u manage with kids if u don't have support living separate in karachi n families are in other cities. I want to restart my career after 12yr long break bcx of such inflation. My hubby is also mostly out of town if not than his timing is 8am to 10pm.,:r6or:,No
Thanks a ton everyone for your input. I am now closing the comments as I have selected Aisha Khan to prepare the gifts.  EDIT: Everyone please stick to the budget that I have mentioned! Hello everyone! I am a teacher and I’m looking to gift something to my students. My budget is kind of low as the number of students is around 35-40 and I have to make other arrangements as well. So what can I gift them in a budget of around 80-90rs per student? Please help. (My students are in grade 7th and it is all girl’s school),:r6pl:,No
Post - 1  Frosted Sunlight  https://chat.whatsapp.com/GGZQlSvRfLP4fGIzh7PVBR https://www.instagram.com/frostedsunlightbyhsd,:r6q6:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
" **We're Hiring!**   **Position**: Graphic Designer    **Location**: Remote]    **Type**: [/Freelance]   Are you passionate about design? We're looking for a creative and skilled **Graphic Designer** to join our team! You'll be working on exciting projects, from digital designs to branding and marketing materials. **Requirements**:   - Proficiency in Adobe Creative Suite (Illustrator, Photoshop, InDesign, etc.)   - Strong portfolio showcasing your design skills   - Attention to detail and creativity   - Ability to work independently and in a team **How to Apply**: Send your resume and portfolio to  0310-2451903 buzzmakerwork@gmail.com Join us and make your mark with visually stunning designs!  #GraphicDesigner #Hiring #DesignJobs #CreativeCareers",:r6s2:,No
Presenting our hot seller ludo  / chess and coffee tables. Best for gifting on house warming/ birthdays. Whatsapp +923482851659 https://instagram.com/wowden._,:r6v8:,No
Hello Everyone  The toy story is here again taking orders for Tasbeeh from KSA Makkah Imported Toys https://chat.whatsapp.com/ET93rOgbLtj3kgW5xiALad,:r70f:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
Our First Class on Appointment Setting was a blast ,:r732:,No
heavy handcrafted  full maxi style shrts colors can be customised  https://www.instagram.com/fashion_by_hajira/profilecard,:r746:,No
Heyy I’m looking for this dress if anyone knows the brand please tell me Thankyouu!!,:r76v:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
Looking for mens shawls in beige that can be delivered in 3-4 days max. Need to wear next Saturday. Location Karachi.,:r7b5:,No
Post no 2 Kindly follow my page for more trendy designs of stainless steel jewelry at very reasonable rates. https://www.instagram.com/bling_.store?igsh=MXIxMTQ4aDY5bnJwYg==,:r7bl:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
"Final Call to register for our Live Courses on Appointment Setting & Meta Business Suite! Also, seeing a few comments these days on random groups by random people that how I am scamming people. Jis jis ko scam ka hissa banna he, please participate in our course and see for yourself k akhir kaunsi scheme baich rahay hen hum 
  So thank you for the hate, I am honoured 
  Register here: https://docs.google.com/.../1FAIpQLSe8kBLG.../viewform",:r7d6:,No
"#post5 *Don't miss out on the chance to surprise your loved ones with these special gift setss and branded stuff!*- Canada Treats For more details, visit our forums:  • https://www.facebook.com/Canadatreats?zmibextid=LQQJ4d • https://instagram.com/canadatreats?igshid=YmMyMTA2M2Y=",:r7e9:,No
Hello. My kid is 4 years old and is in PG (repeating PG) because he couldn't clear the nursery's admission test. Also he had a speech delay till age of 3 years. So at this stage of 4 years what should he be able to do in academics? I'm concerned...,:r7gj:,No
Looking for young story tellers and script writer for one of my Karachi based digital platform. Candidate must be creative and energetic and have good research skills. Contact at 03323440521 or DM me.,:r7ja:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
"Aoa Plz recommend a good doctor in Gulshan or jauher who cures heel swelling and pain as my heel pains since a year. Inflammation level is also elevated. Orthopaedic,remutologist aur cardiologist ko dikha dia hy but no use. Tried and tested plz",:r7o3:,No
in bald spot k liye plz koi tried and tested remedies bata deyn  Dr ny just tube di hai ... baki home remedies oil shampoo batadyn,:r7pn:,No
